path,label
female/100684.jpg,1
male/022461.jpg,0
male/114814.jpg,0
male/107015.jpg,0
female/075438.jpg,1
male/004574.jpg,0
male/095484.jpg,0
male/136260.jpg,0
female/081766.jpg,1
female/020191.jpg,1
female/161901.jpg,1
female/057866.jpg,1
male/080068.jpg,0
female/159036.jpg,1
female/102157.jpg,1
male/068502.jpg,0
female/135084.jpg,1
female/128573.jpg,1
female/020246.jpg,1
female/082369.jpg,1
male/131944.jpg,0
male/092278.jpg,0
female/067648.jpg,1
male/064653.jpg,0
male/046600.jpg,0
female/009049.jpg,1
female/048385.jpg,1
male/065333.jpg,0
female/134658.jpg,1
female/016250.jpg,1
male/022647.jpg,0
female/000349.jpg,1
male/195306.jpg,0
male/112786.jpg,0
male/025775.jpg,0
female/196562.jpg,1
female/086151.jpg,1
female/057941.jpg,1
male/074895.jpg,0
female/088403.jpg,1
female/057845.jpg,1
female/186495.jpg,1
male/101947.jpg,0
male/071191.jpg,0
male/061141.jpg,0
male/037453.jpg,0
male/120625.jpg,0
male/170334.jpg,0
female/052855.jpg,1
female/032664.jpg,1
female/135247.jpg,1
male/161582.jpg,0
male/096862.jpg,0
male/029498.jpg,0
male/042195.jpg,0
female/157777.jpg,1
female/159157.jpg,1
male/134323.jpg,0
female/133225.jpg,1
female/061107.jpg,1
female/005462.jpg,1
male/157873.jpg,0
male/119029.jpg,0
female/049128.jpg,1
male/112864.jpg,0
female/058786.jpg,1
male/100433.jpg,0
male/091900.jpg,0
female/070469.jpg,1
male/103551.jpg,0
female/191364.jpg,1
female/054062.jpg,1
female/078395.jpg,1
male/197393.jpg,0
male/155499.jpg,0
male/006954.jpg,0
male/107645.jpg,0
male/040589.jpg,0
male/087619.jpg,0
female/200141.jpg,1
male/108051.jpg,0
male/010339.jpg,0
female/195866.jpg,1
female/142531.jpg,1
female/040650.jpg,1
male/014559.jpg,0
female/109880.jpg,1
female/107742.jpg,1
male/161865.jpg,0
female/135297.jpg,1
female/174320.jpg,1
male/108537.jpg,0
male/122060.jpg,0
male/128846.jpg,0
female/029325.jpg,1
female/118572.jpg,1
